member_id,current_age,retirement_age,years_to_retirement,gender,employment_sector,current_salary,salary_growth_rate,years_of_service,job_changes,career_breaks_months,contribution_rate,monthly_contribution,current_pot_value,expected_annual_return,inflation_rate,risk_tolerance,employer_match,health_status,education_level,final_retirement_pot
MEMBER_000082,42.2,66,23.8,Male,Healthcare,43491.81,0.0249,15.4,1,4.0,0.0792,287.22,78455.37,0.0673,0.0361,Low,0.05,Good,High School,662634.48
MEMBER_000083,37.7,65,27.3,Male,Finance,44741.94,0.0301,8.5,0,1.4,0.0816,304.32,32882.63,0.0409,0.0238,Medium,0.03,Good,Bachelor,436898.05
MEMBER_000084,62.9,65,2.1,Female,Public,45612.48,0.0209,1.9,0,3.0,0.0805,305.87,5482.82,0.0441,0.0127,Medium,0.05,Good,High School,21483.91
MEMBER_000085,43.5,65,21.5,Male,Private,60485.22,0.0304,21.5,0,1.1,0.1028,518.03,266010.55,0.0491,0.0249,Low,0.05,Excellent,Bachelor,867415.51
MEMBER_000086,44.6,66,21.4,Male,Education,40668.32,0.0157,2.4,0,2.7,0.03,101.67,2345.83,0.0483,0.018,Medium,0.06,Poor,Master,107234.38
MEMBER_000087,58.7,66,7.3,Male,Education,37175.95,0.0466,16.2,3,1.5,0.0618,191.54,57161.72,0.0619,0.0196,Medium,0.05,Excellent,High School,124541.48
MEMBER_000088,47.2,65,17.8,Male,Finance,45137.74,0.038,5.3,0,3.0,0.0486,182.78,10478.89,0.063,0.0345,Low,0.0,Excellent,PhD,118094.14
MEMBER_000089,57.0,66,9.0,Male,Public,42941.7,0.0278,22.4,2,6.9,0.0522,186.91,104420.2,0.0453,0.0324,High,0.05,Good,Bachelor,244667.03
MEMBER_000090,57.9,65,7.1,Male,Technology,59425.32,0.0122,8.5,1,5.7,0.0655,324.29,34976.0,0.05,0.0267,Medium,0.03,Fair,Master,97593.45
MEMBER_000091,55.1,66,10.9,Female,Healthcare,39583.78,0.0316,2.9,0,30.6,0.1152,380.02,10789.53,0.061,0.0198,High,0.03,Good,Master,134281.93
MEMBER_000092,65.0,66,1.0,Male,Private,99243.76,0.0312,31.0,4,0.6,0.0737,609.76,720078.02,0.0422,0.0204,Medium,0.05,Good,High School,830682.49
MEMBER_000093,59.4,66,6.6,Male,Education,44194.26,0.0105,2.4,0,4.2,0.0468,172.4,3940.37,0.0809,0.0218,High,0.05,Good,Bachelor,35738.64
MEMBER_000094,60.2,67,6.8,Male,Private,99193.33,0.022,1.0,0,1.6,0.1418,1172.51,10404.25,0.0731,0.0332,Low,0.06,Good,High School,193920.92
MEMBER_000095,43.0,67,24.0,Female,Education,32367.56,0.005,2.4,0,3.6,0.104,280.59,6338.5,0.0622,0.0141,Medium,0.06,Fair,Bachelor,430168.94
MEMBER_000096,32.1,67,34.9,Male,Private,34485.2,0.0359,10.1,1,0.9,0.0842,242.05,33512.79,0.0285,0.0276,Low,0.03,Fair,Master,429540.72
MEMBER_000097,51.2,66,14.8,Male,Public,41894.13,0.0271,10.3,2,0.3,0.0686,239.66,34230.39,0.04,0.0274,Medium,0.05,Poor,High School,173586.27
MEMBER_000098,42.6,65,22.4,Male,Technology,42559.95,0.0158,20.6,2,1.3,0.03,106.4,50086.73,0.0683,0.0309,Low,0.05,Poor,Bachelor,322349.67
MEMBER_000099,26.2,67,40.8,Female,Private,26072.66,0.0139,4.2,0,23.3,0.097,210.78,9257.27,0.0429,0.0225,Low,0.03,Good,Master,462230.39
MEMBER_000100,65.0,65,1.0,Female,Healthcare,59911.47,0.0213,11.8,0,5.0,0.0931,464.8,81536.94,0.0686,0.01,Medium,0.05,Excellent,Bachelor,81704.21
MEMBER_000101,42.8,65,22.2,Female,Public,51481.45,0.0179,6.0,1,5.6,0.0647,277.51,18791.97,0.0506,0.0125,High,0.05,Excellent,High School,444243.65
MEMBER_000102,44.1,66,21.9,Male,Public,53725.3,0.0301,7.2,2,1.5,0.1076,481.63,41239.82,0.045,0.04,Medium,0.03,Fair,Bachelor,537334.33
MEMBER_000103,50.8,67,16.2,Male,Technology,49251.6,0.0223,28.8,2,4.5,0.0945,387.87,383015.41,0.0407,0.0284,Medium,0.05,Excellent,Master,924137.3
MEMBER_000104,61.9,68,6.1,Male,Finance,91643.14,0.0393,2.7,1,0.4,0.081,618.45,16149.29,0.051,0.0393,High,0.0,Fair,High School,86546.47
MEMBER_000105,48.3,66,17.7,Female,Private,52370.66,0.0382,9.2,1,11.4,0.0765,333.68,40538.58,0.0632,0.0183,High,0.0,Excellent,High School,304845.98
MEMBER_000106,22.0,67,45.0,Female,Healthcare,30177.3,0.0207,1.0,1,3.1,0.1158,291.31,2569.37,0.0382,0.0218,High,0.03,Good,Bachelor,1007479.76
MEMBER_000107,22.0,65,43.0,Male,Private,29654.53,0.0301,1.0,0,3.1,0.0854,211.01,1861.11,0.0368,0.0317,High,0.05,Good,High School,638213.52
MEMBER_000108,22.0,67,45.0,Female,Private,22910.14,0.0241,1.0,1,12.4,0.0859,163.96,1446.12,0.0598,0.0321,Low,0.06,Excellent,Bachelor,726089.82
MEMBER_000109,34.1,65,30.9,Male,Private,40771.17,0.033,5.3,0,2.7,0.0315,107.06,6159.77,0.0614,0.0322,Medium,0.06,Excellent,High School,587742.69
MEMBER_000110,37.2,65,27.8,Female,Finance,43489.91,0.0366,1.0,0,5.7,0.1093,395.96,3492.38,0.0625,0.0265,Medium,0.03,Good,Bachelor,771421.59
MEMBER_000111,51.1,67,15.9,Male,Healthcare,68141.92,0.0372,18.2,2,1.0,0.1325,752.33,279278.21,0.0876,0.0236,High,0.05,Fair,Bachelor,1785337.25
MEMBER_000112,47.3,65,17.7,Male,Private,49192.72,0.005,3.3,0,0.7,0.0825,338.09,10909.11,0.0331,0.0225,High,0.05,Good,High School,170453.61
MEMBER_000113,43.1,65,21.9,Female,Public,44977.66,0.026,21.1,3,2.9,0.03,112.44,55678.89,0.028,0.0123,High,0.05,Good,Bachelor,240880.32
MEMBER_000114,46.8,65,18.2,Male,Healthcare,38718.49,0.0284,7.3,1,0.3,0.1256,405.39,35255.09,0.0476,0.0291,Medium,0.05,Good,Bachelor,319639.02
MEMBER_000115,47.5,67,19.5,Female,Public,49675.93,0.0136,1.0,0,3.4,0.0833,344.65,3039.86,0.0468,0.0257,Low,0.05,Good,Bachelor,248421.52
MEMBER_000116,50.1,66,15.9,Male,Healthcare,38107.22,0.0141,23.3,6,1.7,0.1191,378.31,231570.31,0.0301,0.0333,Medium,0.0,Good,High School,547625.24
MEMBER_000117,41.3,65,23.7,Male,Healthcare,50742.09,0.0109,1.1,0,0.7,0.1164,492.2,4873.15,0.0695,0.0379,Medium,0.03,Poor,Bachelor,445987.2
MEMBER_000118,50.1,66,15.9,Male,Private,53197.79,0.0291,1.0,0,1.0,0.0722,320.23,2824.46,0.079,0.0295,Low,0.06,Good,Master,222056.15
MEMBER_000119,59.1,68,8.9,Male,Finance,74641.68,0.0096,6.2,1,1.6,0.0354,220.27,15659.25,0.0786,0.027,High,0.03,Good,High School,82669.76
MEMBER_000120,34.6,68,33.4,Female,Private,27173.12,0.0274,8.8,1,13.3,0.0888,200.98,22845.73,0.0685,0.0407,Low,0.03,Excellent,Bachelor,658708.19
MEMBER_000121,26.7,68,41.3,Female,Healthcare,29460.22,0.0359,2.1,1,10.1,0.0829,203.62,3979.73,0.0531,0.0156,High,0.03,Fair,Bachelor,885983.98
MEMBER_000122,34.9,65,30.1,Female,Private,18000.0,0.0564,12.9,5,19.2,0.115,172.46,35010.16,0.0519,0.0239,Medium,0.05,Fair,High School,685833.64
MEMBER_000123,65.0,67,2.0,Female,Public,51349.8,0.0153,24.5,3,39.0,0.0386,165.22,112151.39,0.047,0.0319,Low,0.05,Fair,Bachelor,138673.22
MEMBER_000124,37.9,67,29.1,Female,Education,35844.01,0.0357,1.4,0,1.5,0.0597,178.46,2232.76,0.0528,0.0187,High,0.06,Excellent,PhD,516444.32
MEMBER_000125,22.3,65,42.7,Male,Education,25237.88,0.0232,1.0,0,0.7,0.0825,173.46,1529.91,0.0435,0.0175,High,0.06,Good,Master,773151.87
MEMBER_000126,22.0,65,43.0,Female,Finance,18000.0,0.037,1.0,0,14.6,0.1456,218.44,1926.61,0.0356,0.0198,Medium,0.03,Fair,Master,657263.74
MEMBER_000127,47.8,66,18.2,Male,Education,58244.73,0.0247,5.0,0,2.0,0.03,145.61,7838.13,0.0456,0.0251,Low,0.05,Excellent,Master,140471.47
MEMBER_000128,58.5,65,6.5,Male,Private,54915.0,0.0337,23.3,5,2.3,0.03,137.29,84007.29,0.053,0.0364,Low,0.0,Fair,Bachelor,139718.41
MEMBER_000129,46.1,65,18.9,Male,Education,44112.27,0.0206,6.7,2,1.2,0.0842,309.5,24131.82,0.0467,0.0152,Medium,0.0,Fair,Bachelor,195645.9
MEMBER_000130,48.6,65,16.4,Female,Private,45626.68,0.0287,17.0,2,9.0,0.1123,426.82,139538.21,0.0345,0.0374,Low,0.06,Good,Bachelor,368425.24
MEMBER_000131,24.1,67,42.9,Male,Private,31570.13,0.0227,2.1,0,1.5,0.0502,131.99,2544.07,0.0538,0.0251,Medium,0.06,Good,Bachelor,955496.05
MEMBER_000132,36.3,67,30.7,Female,Finance,48975.06,0.0309,1.9,0,0.8,0.0831,338.97,6007.35,0.0782,0.0151,Low,0.03,Good,PhD,586822.87
MEMBER_000133,47.1,67,19.9,Male,Private,54984.33,0.021,3.9,0,1.3,0.0746,341.87,13489.75,0.0524,0.0383,Low,0.06,Fair,Master,298620.55
MEMBER_000134,47.8,68,20.2,Male,Private,43773.6,0.019,2.3,0,3.0,0.0467,170.19,3636.59,0.0587,0.029,Medium,0.05,Good,Bachelor,237429.85
MEMBER_000135,42.2,66,23.8,Female,Healthcare,44389.12,0.0141,20.2,2,7.0,0.0753,278.64,126572.47,0.0676,0.0201,Medium,0.05,Good,High School,937495.9
MEMBER_000136,30.2,65,34.8,Male,Education,26774.29,0.0309,8.2,0,6.0,0.0814,181.71,18718.58,0.06,0.0216,Medium,0.0,Good,PhD,386766.04
MEMBER_000137,51.6,68,16.4,Female,Finance,47836.38,0.0293,21.2,2,3.8,0.0806,321.2,161529.14,0.0407,0.0288,Medium,0.05,Good,High School,396407.68
MEMBER_000138,52.3,66,13.7,Female,Healthcare,45702.58,0.0163,1.0,0,6.8,0.0573,218.08,1923.45,0.0315,0.0142,Medium,0.06,Poor,Bachelor,76478.62
MEMBER_000139,59.3,65,5.7,Female,Private,49432.32,0.0129,3.2,1,4.7,0.1019,419.86,13146.78,0.0582,0.0235,Low,0.06,Good,Bachelor,71083.16
MEMBER_000140,65.0,67,2.0,Male,Private,65080.3,0.0342,22.7,2,1.8,0.0635,344.27,199380.09,0.0396,0.0221,Low,0.0,Fair,Bachelor,235736.16
MEMBER_000141,60.2,67,6.8,Male,Healthcare,52949.81,0.0318,2.5,1,0.7,0.1158,510.86,11934.82,0.0474,0.0243,Low,0.05,Excellent,Bachelor,73926.03
MEMBER_000142,45.4,68,22.6,Male,Private,37338.95,0.0175,1.0,0,6.8,0.1004,312.34,2754.87,0.0378,0.0303,Medium,0.03,Good,Bachelor,223645.76
MEMBER_000143,39.4,66,26.6,Female,Education,37966.63,0.0396,16.2,0,7.2,0.03,94.92,28555.93,0.0622,0.0204,Medium,0.06,Excellent,High School,368556.98
MEMBER_000144,54.5,67,12.5,Female,Public,70345.97,0.0561,6.9,3,8.8,0.1126,660.22,53721.87,0.0689,0.0216,High,0.0,Good,Bachelor,406539.44
MEMBER_000145,57.7,66,8.3,Female,Private,69946.95,0.0141,23.1,2,11.0,0.0684,398.62,239645.11,0.0322,0.0221,Medium,0.06,Good,PhD,400202.15
MEMBER_000146,37.1,67,29.9,Female,Public,36172.81,0.0389,7.6,0,12.4,0.0465,140.13,12906.47,0.0398,0.028,Medium,0.03,Good,Bachelor,332345.8
MEMBER_000147,45.8,65,19.2,Male,Private,42574.19,0.0098,19.8,1,3.1,0.1134,402.26,175628.76,0.047,0.0113,Medium,0.03,Excellent,Bachelor,644102.95
MEMBER_000148,51.0,66,15.0,Female,Public,61220.21,0.0201,1.6,0,3.1,0.0402,204.84,2983.14,0.0562,0.0371,Medium,0.03,Good,Bachelor,105829.64
MEMBER_000149,35.1,66,30.9,Male,Private,34008.89,0.0271,13.1,0,0.2,0.0821,232.62,48248.74,0.0537,0.0265,Low,0.05,Good,Bachelor,680793.16
MEMBER_000150,57.2,66,8.8,Male,Private,76646.01,0.0277,35.2,3,4.3,0.0917,585.84,962184.2,0.0351,0.0334,Medium,0.0,Good,High School,1621550.86
MEMBER_000151,51.9,66,14.1,Female,Public,44281.07,0.0164,20.7,3,7.7,0.0758,279.61,133450.86,0.0812,0.0361,Medium,0.03,Fair,High School,562806.65
MEMBER_000152,42.2,67,24.8,Male,Public,33962.84,0.0163,4.3,0,1.2,0.1005,284.33,12548.12,0.0773,0.0204,High,0.06,Fair,Master,718660.54
MEMBER_000153,45.9,65,19.1,Female,Healthcare,50543.69,0.0265,1.1,0,17.0,0.1314,553.28,5207.02,0.0292,0.0273,Medium,0.06,Good,Master,423002.07
